id,key,value
5152,DiscountApplied,40%
5153,SpecialOffer,SpringSale2024
5154,MembershipLevel,Bronze
5155,DiscountApplied,30%
5156,DiscountApplied,30%
5157,MembershipLevel,Gold
5158,DiscountApplied,10%
5159,SpecialOffer,SpringSale2024
5160,DiscountApplied,40%
5161,DiscountApplied,40%
5162,SpecialOffer,SummerSale2024
5163,PriorityCustomer,No
5164,SpecialOffer,SpringSale2024
5165,SpecialOffer,SummerSale2024
5166,MembershipLevel,Gold
5167,PriorityCustomer,No
5168,PriorityCustomer,No
5169,PriorityCustomer,Yes
5170,MembershipLevel,Bronze
5171,SpecialOffer,HolidaySale2024
5172,DiscountApplied,20%
5173,SpecialOffer,SummerSale2024
5174,SpecialOffer,HolidaySale2024
5175,DiscountApplied,30%
5176,MembershipLevel,Bronze
5177,SpecialOffer,HolidaySale2024
5178,MembershipLevel,Silver
5179,PriorityCustomer,Yes
5180,PriorityCustomer,No
5181,PriorityCustomer,No
5182,DiscountApplied,10%
5183,MembershipLevel,Silver
5184,DiscountApplied,10%
5185,DiscountApplied,30%
5186,DiscountApplied,20%
5187,MembershipLevel,Bronze
5188,PriorityCustomer,Yes
5189,DiscountApplied,20%
5190,PriorityCustomer,Yes
5191,SpecialOffer,HolidaySale2024
5192,PriorityCustomer,Yes
5193,MembershipLevel,Platinum
5194,DiscountApplied,10%
5195,PriorityCustomer,No
5196,PriorityCustomer,No
5197,PriorityCustomer,No
5198,PriorityCustomer,No
5199,DiscountApplied,40%
5200,MembershipLevel,Bronze
5201,PriorityCustomer,Yes
5202,SpecialOffer,SpringSale2024
5203,PriorityCustomer,No
5204,MembershipLevel,Platinum
5205,MembershipLevel,Gold
5206,DiscountApplied,20%
5207,PriorityCustomer,No
5208,DiscountApplied,40%
5209,SpecialOffer,SpringSale2024
5210,DiscountApplied,20%
5211,SpecialOffer,WinterSale2024
5212,SpecialOffer,WinterSale2024
5213,MembershipLevel,Silver
5214,SpecialOffer,HolidaySale2024
5215,DiscountApplied,10%
5216,MembershipLevel,Bronze
5217,SpecialOffer,HolidaySale2024
5218,MembershipLevel,Silver
5219,PriorityCustomer,No
5220,PriorityCustomer,No
5221,MembershipLevel,Platinum
5222,MembershipLevel,Silver
5223,MembershipLevel,Platinum
5224,SpecialOffer,HolidaySale2024
5225,DiscountApplied,40%
5226,SpecialOffer,WinterSale2024
5227,SpecialOffer,SummerSale2024
5228,DiscountApplied,20%
5229,DiscountApplied,20%
5230,PriorityCustomer,Yes
5231,DiscountApplied,10%
5232,SpecialOffer,SummerSale2024
5233,DiscountApplied,30%
5234,DiscountApplied,10%
5235,DiscountApplied,40%
5236,SpecialOffer,SummerSale2024
5237,DiscountApplied,40%
5238,DiscountApplied,20%
5239,DiscountApplied,30%
5240,SpecialOffer,SpringSale2024
5241,PriorityCustomer,Yes
5242,MembershipLevel,Silver
5243,PriorityCustomer,No
5244,MembershipLevel,Silver
5245,PriorityCustomer,Yes
5246,PriorityCustomer,No
5247,SpecialOffer,SpringSale2024
5248,SpecialOffer,HolidaySale2024
5249,MembershipLevel,Gold
5250,DiscountApplied,30%
5251,MembershipLevel,Silver
5252,DiscountApplied,30%
5253,DiscountApplied,10%
5254,MembershipLevel,Silver
5255,PriorityCustomer,No
5256,DiscountApplied,40%
5257,DiscountApplied,20%
5258,SpecialOffer,SpringSale2024
5259,SpecialOffer,WinterSale2024
5260,PriorityCustomer,No
5261,SpecialOffer,SpringSale2024
5262,DiscountApplied,30%
5263,DiscountApplied,10%
5264,PriorityCustomer,Yes
5265,DiscountApplied,10%
5266,DiscountApplied,40%
5267,DiscountApplied,40%
5268,PriorityCustomer,No
5269,PriorityCustomer,Yes
5270,MembershipLevel,Bronze
5271,MembershipLevel,Platinum
5272,SpecialOffer,SummerSale2024
5273,SpecialOffer,SpringSale2024
5274,MembershipLevel,Gold
5275,DiscountApplied,30%
5276,SpecialOffer,SpringSale2024
5277,DiscountApplied,30%
5278,PriorityCustomer,Yes
5279,PriorityCustomer,No
5280,SpecialOffer,SpringSale2024
5281,MembershipLevel,Gold
5282,DiscountApplied,30%
5283,SpecialOffer,WinterSale2024
5284,MembershipLevel,Gold
5285,DiscountApplied,30%
5286,PriorityCustomer,No
5287,PriorityCustomer,No
5288,SpecialOffer,SummerSale2024
5289,DiscountApplied,20%
5290,SpecialOffer,HolidaySale2024
5291,PriorityCustomer,No
5292,DiscountApplied,10%
5293,DiscountApplied,40%
5294,PriorityCustomer,No
5295,PriorityCustomer,Yes
5296,MembershipLevel,Gold
5297,PriorityCustomer,No
5298,MembershipLevel,Bronze
5299,DiscountApplied,30%
5300,SpecialOffer,WinterSale2024
5301,SpecialOffer,WinterSale2024
5302,DiscountApplied,40%
5303,SpecialOffer,SpringSale2024
5304,PriorityCustomer,Yes
5305,SpecialOffer,WinterSale2024
5306,DiscountApplied,10%
5307,SpecialOffer,SummerSale2024
5308,PriorityCustomer,No
5309,DiscountApplied,30%
5310,MembershipLevel,Platinum
5311,SpecialOffer,SummerSale2024
5312,SpecialOffer,SpringSale2024
5313,DiscountApplied,40%
5314,SpecialOffer,HolidaySale2024
5315,SpecialOffer,WinterSale2024
5316,MembershipLevel,Silver
5317,PriorityCustomer,Yes
5318,DiscountApplied,10%
5319,SpecialOffer,SpringSale2024
5320,MembershipLevel,Platinum
5321,SpecialOffer,WinterSale2024
5322,MembershipLevel,Platinum
5323,MembershipLevel,Gold
5324,DiscountApplied,40%
5325,SpecialOffer,SpringSale2024
5326,SpecialOffer,WinterSale2024
5327,DiscountApplied,20%
5328,DiscountApplied,40%
5329,SpecialOffer,HolidaySale2024
5330,MembershipLevel,Bronze
5331,DiscountApplied,20%
5332,DiscountApplied,40%
5333,PriorityCustomer,Yes
5334,SpecialOffer,SpringSale2024
5335,MembershipLevel,Silver
5336,PriorityCustomer,Yes
5337,MembershipLevel,Platinum
5338,DiscountApplied,40%
5339,DiscountApplied,40%
5340,MembershipLevel,Bronze
5341,DiscountApplied,30%
5342,SpecialOffer,SpringSale2024
5343,PriorityCustomer,No
5344,DiscountApplied,20%
5345,SpecialOffer,HolidaySale2024
5346,PriorityCustomer,No
5347,PriorityCustomer,No
5348,DiscountApplied,20%
5349,MembershipLevel,Platinum
5350,MembershipLevel,Bronze
5351,SpecialOffer,HolidaySale2024
5352,DiscountApplied,30%
5353,PriorityCustomer,Yes
5354,MembershipLevel,Silver
5355,PriorityCustomer,Yes
5356,PriorityCustomer,Yes
5357,MembershipLevel,Platinum
5358,MembershipLevel,Gold
5359,MembershipLevel,Bronze
5360,PriorityCustomer,Yes
5361,DiscountApplied,30%
5362,SpecialOffer,WinterSale2024
5363,SpecialOffer,HolidaySale2024
5364,DiscountApplied,40%
5365,MembershipLevel,Platinum
5366,MembershipLevel,Silver
5367,SpecialOffer,SummerSale2024
5368,SpecialOffer,HolidaySale2024
5369,PriorityCustomer,No
5370,SpecialOffer,WinterSale2024
5371,PriorityCustomer,Yes
5372,PriorityCustomer,No
5373,SpecialOffer,SpringSale2024
5374,DiscountApplied,10%
5375,MembershipLevel,Platinum
5376,MembershipLevel,Platinum
5377,DiscountApplied,30%
5378,MembershipLevel,Bronze
5379,DiscountApplied,20%
5380,PriorityCustomer,Yes
5381,SpecialOffer,SummerSale2024
5382,PriorityCustomer,Yes
5383,SpecialOffer,SummerSale2024
5384,SpecialOffer,SummerSale2024
5385,SpecialOffer,SummerSale2024
5386,SpecialOffer,WinterSale2024
5387,DiscountApplied,20%
5388,DiscountApplied,20%
5389,MembershipLevel,Bronze
5390,DiscountApplied,20%
5391,DiscountApplied,20%
5392,MembershipLevel,Gold
5393,SpecialOffer,HolidaySale2024
5394,SpecialOffer,WinterSale2024
5395,MembershipLevel,Silver
5396,PriorityCustomer,Yes
5397,PriorityCustomer,Yes
5398,MembershipLevel,Silver
5399,SpecialOffer,SummerSale2024
5400,DiscountApplied,40%
5401,MembershipLevel,Silver
5402,MembershipLevel,Gold
5403,DiscountApplied,40%
5404,MembershipLevel,Bronze
5405,PriorityCustomer,No
5406,PriorityCustomer,Yes
5407,PriorityCustomer,Yes
5408,MembershipLevel,Bronze
5409,SpecialOffer,WinterSale2024
5410,SpecialOffer,HolidaySale2024
5411,PriorityCustomer,No
5412,MembershipLevel,Silver
5413,PriorityCustomer,Yes
5414,DiscountApplied,30%
5415,SpecialOffer,SummerSale2024
5416,DiscountApplied,30%
5417,MembershipLevel,Gold
5418,PriorityCustomer,No
5419,DiscountApplied,20%
5420,DiscountApplied,30%
5421,PriorityCustomer,No
5422,SpecialOffer,WinterSale2024
5423,MembershipLevel,Gold
5424,SpecialOffer,WinterSale2024
5425,SpecialOffer,SpringSale2024
5426,SpecialOffer,SpringSale2024
5427,DiscountApplied,40%
5428,MembershipLevel,Bronze
5429,MembershipLevel,Gold
5430,MembershipLevel,Gold
5431,DiscountApplied,20%
5432,MembershipLevel,Platinum
5433,MembershipLevel,Bronze
5434,SpecialOffer,SummerSale2024
5435,PriorityCustomer,Yes
5436,PriorityCustomer,Yes
5437,SpecialOffer,HolidaySale2024
5438,MembershipLevel,Platinum
5439,MembershipLevel,Platinum
5440,SpecialOffer,HolidaySale2024
5441,PriorityCustomer,No
5442,DiscountApplied,40%
5443,PriorityCustomer,No
5444,DiscountApplied,10%
5445,MembershipLevel,Gold
5446,PriorityCustomer,Yes
5447,SpecialOffer,SpringSale2024
5448,SpecialOffer,SummerSale2024
5449,SpecialOffer,SummerSale2024
5450,PriorityCustomer,Yes
5451,DiscountApplied,40%
5452,DiscountApplied,20%
5453,DiscountApplied,10%
5454,SpecialOffer,HolidaySale2024
5455,MembershipLevel,Bronze
5456,DiscountApplied,30%
5457,DiscountApplied,20%
5458,PriorityCustomer,No
5459,DiscountApplied,40%
5460,SpecialOffer,HolidaySale2024
5461,PriorityCustomer,No
5462,MembershipLevel,Platinum
5463,DiscountApplied,20%
5464,MembershipLevel,Platinum
5465,PriorityCustomer,No
5466,SpecialOffer,HolidaySale2024
5467,SpecialOffer,SpringSale2024
5468,PriorityCustomer,No
5469,DiscountApplied,10%
5470,SpecialOffer,SummerSale2024
5471,DiscountApplied,30%
5472,PriorityCustomer,No
5473,PriorityCustomer,No
5474,DiscountApplied,40%
5475,SpecialOffer,WinterSale2024
5476,SpecialOffer,SpringSale2024
5477,DiscountApplied,30%
5478,PriorityCustomer,No
5479,MembershipLevel,Platinum
5480,DiscountApplied,40%
5481,SpecialOffer,HolidaySale2024
5482,DiscountApplied,30%
5483,SpecialOffer,HolidaySale2024
5484,SpecialOffer,SummerSale2024
5485,MembershipLevel,Bronze
5486,PriorityCustomer,Yes
5487,DiscountApplied,10%
5488,PriorityCustomer,No
5489,DiscountApplied,10%
5490,SpecialOffer,HolidaySale2024
5491,DiscountApplied,40%
5492,SpecialOffer,HolidaySale2024
5493,DiscountApplied,20%
5494,DiscountApplied,40%
5495,DiscountApplied,30%
5496,PriorityCustomer,No
5497,SpecialOffer,WinterSale2024
5498,PriorityCustomer,Yes
5499,MembershipLevel,Gold
5500,MembershipLevel,Silver
5501,SpecialOffer,HolidaySale2024
5502,MembershipLevel,Platinum
5503,PriorityCustomer,No
5504,SpecialOffer,HolidaySale2024
5505,DiscountApplied,40%
5506,MembershipLevel,Bronze
5507,SpecialOffer,SummerSale2024
5508,SpecialOffer,SpringSale2024
5509,MembershipLevel,Bronze
5510,MembershipLevel,Gold
5511,SpecialOffer,WinterSale2024
5512,DiscountApplied,40%
5513,SpecialOffer,SpringSale2024
5514,MembershipLevel,Gold
5515,DiscountApplied,30%
5516,MembershipLevel,Platinum
5517,PriorityCustomer,No
5518,PriorityCustomer,Yes
5519,DiscountApplied,20%
5520,MembershipLevel,Bronze
5521,MembershipLevel,Silver
5522,MembershipLevel,Platinum
5523,MembershipLevel,Platinum
5524,MembershipLevel,Bronze
5525,MembershipLevel,Platinum
5526,MembershipLevel,Bronze
5527,SpecialOffer,HolidaySale2024
5528,PriorityCustomer,No
5529,DiscountApplied,20%
5530,DiscountApplied,40%
5531,DiscountApplied,40%
5532,DiscountApplied,20%
5533,DiscountApplied,20%
5534,MembershipLevel,Bronze
5535,MembershipLevel,Gold
5536,MembershipLevel,Platinum
5537,MembershipLevel,Platinum
5538,MembershipLevel,Platinum
5539,DiscountApplied,10%
5540,SpecialOffer,SpringSale2024
5541,SpecialOffer,WinterSale2024
5542,DiscountApplied,30%
5543,PriorityCustomer,No
5544,SpecialOffer,WinterSale2024
5545,DiscountApplied,40%
5546,DiscountApplied,30%
5547,DiscountApplied,20%
5548,MembershipLevel,Gold
5549,SpecialOffer,WinterSale2024
5550,MembershipLevel,Bronze
5551,DiscountApplied,30%
5552,SpecialOffer,SpringSale2024
5553,SpecialOffer,SummerSale2024
5554,PriorityCustomer,Yes
5555,PriorityCustomer,No
5556,SpecialOffer,HolidaySale2024
5557,PriorityCustomer,Yes
5558,DiscountApplied,10%
5559,DiscountApplied,30%
5560,DiscountApplied,20%
5561,MembershipLevel,Platinum
5562,DiscountApplied,40%
5563,MembershipLevel,Bronze
5564,SpecialOffer,SummerSale2024
5565,MembershipLevel,Platinum
5566,PriorityCustomer,Yes
5567,DiscountApplied,30%
5568,MembershipLevel,Platinum
5569,PriorityCustomer,Yes
5570,SpecialOffer,HolidaySale2024
5571,MembershipLevel,Bronze
5572,MembershipLevel,Bronze
5573,DiscountApplied,10%
5574,DiscountApplied,10%
5575,PriorityCustomer,No
5576,SpecialOffer,HolidaySale2024
5577,PriorityCustomer,No
5578,MembershipLevel,Bronze
5579,SpecialOffer,HolidaySale2024
5580,DiscountApplied,40%
5581,MembershipLevel,Platinum
5582,MembershipLevel,Platinum
5583,MembershipLevel,Gold
5584,MembershipLevel,Platinum
5585,PriorityCustomer,No
5586,PriorityCustomer,Yes
5587,PriorityCustomer,No
5588,DiscountApplied,40%
5589,SpecialOffer,WinterSale2024
5590,DiscountApplied,20%
5591,DiscountApplied,40%
5592,PriorityCustomer,No
5593,DiscountApplied,20%
5594,DiscountApplied,30%
5595,PriorityCustomer,Yes
5596,MembershipLevel,Silver
5597,PriorityCustomer,Yes
5598,DiscountApplied,10%
5599,MembershipLevel,Bronze
5600,SpecialOffer,HolidaySale2024
5601,MembershipLevel,Silver
5602,PriorityCustomer,No
5603,MembershipLevel,Platinum
5604,PriorityCustomer,Yes
5605,DiscountApplied,30%
5606,SpecialOffer,SummerSale2024
5607,DiscountApplied,30%
5608,DiscountApplied,30%
5609,MembershipLevel,Bronze
5610,PriorityCustomer,Yes
5611,DiscountApplied,30%
5612,SpecialOffer,SummerSale2024
5613,PriorityCustomer,No
5614,SpecialOffer,WinterSale2024
5615,PriorityCustomer,Yes
5616,SpecialOffer,SummerSale2024
5617,MembershipLevel,Bronze
5618,SpecialOffer,SpringSale2024
5619,MembershipLevel,Bronze
5620,DiscountApplied,10%
5621,SpecialOffer,WinterSale2024
5622,SpecialOffer,SpringSale2024
5623,DiscountApplied,30%
5624,MembershipLevel,Silver
5625,DiscountApplied,20%
5626,MembershipLevel,Platinum
5627,SpecialOffer,SummerSale2024
5628,PriorityCustomer,Yes
5629,SpecialOffer,HolidaySale2024
5630,PriorityCustomer,No
5631,PriorityCustomer,Yes
5632,PriorityCustomer,Yes
5633,SpecialOffer,SpringSale2024
5634,DiscountApplied,20%
5635,SpecialOffer,SpringSale2024
5636,DiscountApplied,20%
5637,DiscountApplied,10%
5638,PriorityCustomer,No
5639,DiscountApplied,20%
5640,PriorityCustomer,Yes
5641,PriorityCustomer,Yes
5642,DiscountApplied,20%
5643,DiscountApplied,30%
5644,SpecialOffer,SummerSale2024
5645,SpecialOffer,HolidaySale2024
5646,SpecialOffer,WinterSale2024
5647,PriorityCustomer,No
5648,MembershipLevel,Silver
5649,SpecialOffer,HolidaySale2024
5650,DiscountApplied,40%
5651,DiscountApplied,30%
5652,DiscountApplied,10%
5653,SpecialOffer,HolidaySale2024
5654,DiscountApplied,20%
5655,MembershipLevel,Bronze
5656,DiscountApplied,10%
5657,MembershipLevel,Gold
5658,DiscountApplied,30%
5659,PriorityCustomer,No
5660,SpecialOffer,SummerSale2024
5661,DiscountApplied,10%
5662,MembershipLevel,Silver
5663,PriorityCustomer,Yes
5664,PriorityCustomer,Yes
5665,MembershipLevel,Bronze
5666,SpecialOffer,HolidaySale2024
5667,MembershipLevel,Platinum
5668,PriorityCustomer,Yes
5669,DiscountApplied,10%
5670,DiscountApplied,30%
5671,PriorityCustomer,Yes
5672,DiscountApplied,10%
5673,SpecialOffer,WinterSale2024
5674,SpecialOffer,SummerSale2024
5675,MembershipLevel,Gold
5676,DiscountApplied,20%
5677,MembershipLevel,Gold
5678,PriorityCustomer,Yes
5679,SpecialOffer,SummerSale2024
5680,DiscountApplied,20%
5681,MembershipLevel,Platinum
5682,DiscountApplied,10%
5683,SpecialOffer,SpringSale2024
5684,MembershipLevel,Silver
5685,PriorityCustomer,Yes
5686,PriorityCustomer,No
5687,SpecialOffer,HolidaySale2024
5688,PriorityCustomer,No
5689,DiscountApplied,30%
5690,SpecialOffer,SummerSale2024
5691,DiscountApplied,30%
5692,PriorityCustomer,Yes
5693,SpecialOffer,WinterSale2024
5694,PriorityCustomer,No
5695,DiscountApplied,10%
5696,MembershipLevel,Silver
5697,PriorityCustomer,No
5698,PriorityCustomer,Yes
5699,DiscountApplied,40%
5700,SpecialOffer,HolidaySale2024
5701,PriorityCustomer,No
5702,PriorityCustomer,Yes
5703,SpecialOffer,WinterSale2024
5704,PriorityCustomer,Yes
5705,SpecialOffer,HolidaySale2024
5706,PriorityCustomer,No
5707,SpecialOffer,HolidaySale2024
5708,DiscountApplied,20%
5709,SpecialOffer,WinterSale2024
5710,MembershipLevel,Gold
5711,PriorityCustomer,No
5712,MembershipLevel,Silver
5713,MembershipLevel,Silver
5714,PriorityCustomer,Yes
5715,PriorityCustomer,Yes
5716,MembershipLevel,Gold
5717,PriorityCustomer,Yes
5718,DiscountApplied,30%
5719,MembershipLevel,Gold
5720,MembershipLevel,Gold
5721,PriorityCustomer,Yes
5722,DiscountApplied,20%
5723,MembershipLevel,Gold
5724,MembershipLevel,Platinum
5725,SpecialOffer,SummerSale2024
5726,SpecialOffer,WinterSale2024
5727,MembershipLevel,Gold
5728,MembershipLevel,Bronze
5729,PriorityCustomer,Yes
5730,MembershipLevel,Platinum
5731,SpecialOffer,SummerSale2024
5732,SpecialOffer,WinterSale2024
5733,SpecialOffer,SummerSale2024
5734,MembershipLevel,Platinum
5735,MembershipLevel,Gold
5736,MembershipLevel,Bronze
5737,DiscountApplied,40%
5738,PriorityCustomer,No
5739,MembershipLevel,Gold
5740,MembershipLevel,Bronze
5741,SpecialOffer,SpringSale2024
5742,PriorityCustomer,Yes
5743,DiscountApplied,40%
5744,DiscountApplied,30%
5745,PriorityCustomer,No
5746,PriorityCustomer,Yes
5747,PriorityCustomer,Yes
5748,MembershipLevel,Bronze
5749,PriorityCustomer,Yes
5750,DiscountApplied,30%
5751,DiscountApplied,20%
5752,PriorityCustomer,No
5753,PriorityCustomer,Yes
5754,DiscountApplied,40%
5755,SpecialOffer,SummerSale2024
5756,DiscountApplied,20%
5757,SpecialOffer,HolidaySale2024
5758,SpecialOffer,SummerSale2024
5759,MembershipLevel,Platinum
5760,SpecialOffer,SpringSale2024
5761,MembershipLevel,Silver
5762,PriorityCustomer,No
5763,SpecialOffer,WinterSale2024
5764,SpecialOffer,SpringSale2024
5765,DiscountApplied,10%
5766,MembershipLevel,Bronze
5767,MembershipLevel,Silver
5768,MembershipLevel,Silver
5769,SpecialOffer,SummerSale2024
5770,PriorityCustomer,Yes
5771,MembershipLevel,Silver
5772,MembershipLevel,Silver
5773,DiscountApplied,40%
5774,MembershipLevel,Gold
5775,PriorityCustomer,Yes
5776,PriorityCustomer,No
5777,SpecialOffer,SummerSale2024
5778,DiscountApplied,10%
5779,MembershipLevel,Bronze
5780,DiscountApplied,10%
5781,PriorityCustomer,No
5782,MembershipLevel,Gold
5783,SpecialOffer,HolidaySale2024
5784,PriorityCustomer,No
5785,PriorityCustomer,No
5786,SpecialOffer,SpringSale2024
5787,SpecialOffer,SpringSale2024
5788,MembershipLevel,Bronze
5789,DiscountApplied,30%
5790,SpecialOffer,HolidaySale2024
5791,PriorityCustomer,Yes
5792,DiscountApplied,30%
5793,PriorityCustomer,No
5794,DiscountApplied,40%
5795,DiscountApplied,40%
5796,PriorityCustomer,No
5797,PriorityCustomer,No
5798,PriorityCustomer,No
5799,SpecialOffer,HolidaySale2024
5800,PriorityCustomer,Yes
5801,DiscountApplied,20%
5802,MembershipLevel,Platinum
5803,SpecialOffer,WinterSale2024
5804,SpecialOffer,HolidaySale2024
5805,MembershipLevel,Gold
5806,PriorityCustomer,No
5807,PriorityCustomer,Yes
5808,SpecialOffer,WinterSale2024
5809,SpecialOffer,SpringSale2024
5810,DiscountApplied,30%
5811,MembershipLevel,Bronze
5812,SpecialOffer,HolidaySale2024
5813,DiscountApplied,10%
5814,MembershipLevel,Bronze
5815,DiscountApplied,20%
5816,PriorityCustomer,No
5817,DiscountApplied,40%
5818,MembershipLevel,Platinum
5819,MembershipLevel,Silver
5820,DiscountApplied,20%
5821,DiscountApplied,40%
5822,MembershipLevel,Silver
5823,PriorityCustomer,Yes
5824,SpecialOffer,SpringSale2024
5825,PriorityCustomer,No
5826,PriorityCustomer,Yes
5827,DiscountApplied,20%
5828,MembershipLevel,Platinum
5829,DiscountApplied,40%
5830,PriorityCustomer,Yes
5831,MembershipLevel,Silver
5832,MembershipLevel,Bronze
5833,DiscountApplied,20%
5834,PriorityCustomer,Yes
5835,SpecialOffer,HolidaySale2024
5836,MembershipLevel,Silver
5837,SpecialOffer,SpringSale2024
5838,PriorityCustomer,Yes
5839,DiscountApplied,30%
5840,DiscountApplied,30%
5841,MembershipLevel,Silver
5842,PriorityCustomer,Yes
5843,DiscountApplied,40%
5844,DiscountApplied,10%
5845,PriorityCustomer,No
5846,MembershipLevel,Silver
5847,SpecialOffer,WinterSale2024
5848,SpecialOffer,WinterSale2024
5849,SpecialOffer,SpringSale2024
5850,SpecialOffer,WinterSale2024
5851,DiscountApplied,10%
5852,MembershipLevel,Silver
5853,MembershipLevel,Bronze
5854,PriorityCustomer,No
5855,MembershipLevel,Gold
5856,SpecialOffer,WinterSale2024
5857,DiscountApplied,30%
5858,MembershipLevel,Platinum
5859,SpecialOffer,SpringSale2024
5860,PriorityCustomer,No
5861,DiscountApplied,20%
5862,DiscountApplied,10%
5863,PriorityCustomer,No
5864,SpecialOffer,HolidaySale2024
5865,SpecialOffer,SpringSale2024
5866,PriorityCustomer,Yes
5867,DiscountApplied,30%
5868,DiscountApplied,40%
5869,MembershipLevel,Gold
5870,PriorityCustomer,Yes
5871,MembershipLevel,Gold
5872,PriorityCustomer,No
5873,MembershipLevel,Platinum
5874,SpecialOffer,HolidaySale2024
5875,PriorityCustomer,Yes
5876,DiscountApplied,30%
5877,PriorityCustomer,Yes
5878,DiscountApplied,10%
5879,MembershipLevel,Gold
5880,DiscountApplied,10%
5881,DiscountApplied,20%
5882,SpecialOffer,SummerSale2024
5883,SpecialOffer,SummerSale2024
5884,PriorityCustomer,No
5885,PriorityCustomer,No
5886,SpecialOffer,WinterSale2024
5887,PriorityCustomer,No
5888,PriorityCustomer,No
5889,DiscountApplied,30%
5890,MembershipLevel,Platinum
5891,PriorityCustomer,Yes
5892,DiscountApplied,20%
5893,SpecialOffer,HolidaySale2024
5894,SpecialOffer,SummerSale2024
5895,SpecialOffer,WinterSale2024
5896,SpecialOffer,SummerSale2024
5897,DiscountApplied,30%
5898,SpecialOffer,SummerSale2024
5899,DiscountApplied,20%
5900,MembershipLevel,Silver
5901,DiscountApplied,40%
5902,DiscountApplied,30%
5903,MembershipLevel,Bronze
5904,SpecialOffer,WinterSale2024
5905,DiscountApplied,30%
5906,DiscountApplied,40%
5907,DiscountApplied,10%
5908,PriorityCustomer,No
5909,PriorityCustomer,Yes
5910,PriorityCustomer,No
5911,PriorityCustomer,Yes
5912,PriorityCustomer,No
5913,DiscountApplied,10%
5914,SpecialOffer,HolidaySale2024
5915,DiscountApplied,10%
5916,SpecialOffer,HolidaySale2024
5917,DiscountApplied,30%
5918,DiscountApplied,10%
5919,SpecialOffer,HolidaySale2024
5920,DiscountApplied,40%
5921,DiscountApplied,40%
5922,DiscountApplied,20%
5923,PriorityCustomer,No
5924,SpecialOffer,HolidaySale2024
5925,SpecialOffer,HolidaySale2024
5926,PriorityCustomer,No
5927,SpecialOffer,SpringSale2024
5928,SpecialOffer,SummerSale2024
5929,PriorityCustomer,Yes
5930,DiscountApplied,30%
5931,MembershipLevel,Bronze
5932,PriorityCustomer,No
5933,SpecialOffer,SummerSale2024
5934,DiscountApplied,10%
5935,MembershipLevel,Bronze
5936,MembershipLevel,Platinum
5937,PriorityCustomer,Yes
5938,PriorityCustomer,Yes
5939,PriorityCustomer,No
5940,DiscountApplied,20%
5941,DiscountApplied,20%
5942,MembershipLevel,Silver
5943,PriorityCustomer,No
5944,MembershipLevel,Bronze
5945,MembershipLevel,Silver
5946,PriorityCustomer,No
5947,SpecialOffer,HolidaySale2024
5948,PriorityCustomer,No
5949,SpecialOffer,SpringSale2024
5950,SpecialOffer,SpringSale2024
5951,SpecialOffer,SummerSale2024
5952,PriorityCustomer,Yes
5953,MembershipLevel,Silver
5954,MembershipLevel,Silver
5955,SpecialOffer,SpringSale2024
5956,MembershipLevel,Silver
5957,DiscountApplied,20%
5958,MembershipLevel,Gold
5959,PriorityCustomer,Yes
5960,PriorityCustomer,No
5961,MembershipLevel,Gold
5962,DiscountApplied,20%
5963,PriorityCustomer,Yes
5964,PriorityCustomer,No
5965,DiscountApplied,30%
5966,PriorityCustomer,Yes
5967,DiscountApplied,30%
5968,SpecialOffer,HolidaySale2024
5969,PriorityCustomer,Yes
5970,MembershipLevel,Silver
5971,SpecialOffer,SummerSale2024
5972,MembershipLevel,Gold
5973,DiscountApplied,30%
5974,MembershipLevel,Silver
5975,DiscountApplied,30%
5976,SpecialOffer,SummerSale2024
5977,PriorityCustomer,No
5978,PriorityCustomer,Yes
5979,PriorityCustomer,No
5980,MembershipLevel,Gold
5981,SpecialOffer,HolidaySale2024
5982,SpecialOffer,SummerSale2024
5983,PriorityCustomer,Yes
5984,MembershipLevel,Silver
5985,PriorityCustomer,Yes
5986,DiscountApplied,20%
5987,PriorityCustomer,No
5988,SpecialOffer,HolidaySale2024
5989,SpecialOffer,SummerSale2024
5990,SpecialOffer,SummerSale2024
5991,SpecialOffer,SummerSale2024
5992,MembershipLevel,Platinum
5993,PriorityCustomer,No
5994,PriorityCustomer,Yes
5995,SpecialOffer,WinterSale2024
5996,MembershipLevel,Platinum
5997,SpecialOffer,SpringSale2024
5998,PriorityCustomer,No
5999,DiscountApplied,10%
6000,SpecialOffer,SummerSale2024
6001,PriorityCustomer,Yes
6002,SpecialOffer,WinterSale2024
6003,PriorityCustomer,No
6004,SpecialOffer,HolidaySale2024
6005,DiscountApplied,20%
6006,DiscountApplied,30%
6007,PriorityCustomer,Yes
6008,PriorityCustomer,Yes
6009,DiscountApplied,20%
6010,PriorityCustomer,Yes
6011,MembershipLevel,Silver
6012,DiscountApplied,40%
6013,SpecialOffer,WinterSale2024
6014,DiscountApplied,20%
6015,SpecialOffer,SpringSale2024
6016,SpecialOffer,SummerSale2024
6017,MembershipLevel,Gold
6018,PriorityCustomer,Yes
6019,DiscountApplied,30%
6020,PriorityCustomer,Yes
6021,PriorityCustomer,No
6022,SpecialOffer,HolidaySale2024
6023,SpecialOffer,SummerSale2024
6024,PriorityCustomer,No
6025,PriorityCustomer,Yes
6026,DiscountApplied,40%
6027,DiscountApplied,30%
6028,DiscountApplied,10%
6029,SpecialOffer,WinterSale2024
6030,PriorityCustomer,Yes
